epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,872.287,0.86714,1.01423,0.92634,0.68223,0.84977,0.80108,0.6971,0.56815,0.55807,0.84023,0.00333173,0.00333173,0.00333173
2,1722.8,0.67405,0.58188,0.85597,0.74479,0.83598,0.8468,0.74347,0.54721,0.48551,0.83654,0.00640113,0.00640113,0.00640113
3,2559.57,0.6583,0.53481,0.85122,0.57816,0.79397,0.74853,0.65083,0.58282,0.62537,0.85266,0.00920652,0.00920652,0.00920652
4,3390.24,0.62524,0.49604,0.84426,0.76808,0.82787,0.8536,0.76132,0.5205,0.42776,0.82814,0.008812,0.008812,0.008812
5,4217.54,0.59588,0.46665,0.83667,0.80772,0.83206,0.86819,0.77921,0.50516,0.39636,0.82389,0.008416,0.008416,0.008416
6,5044.45,0.57829,0.45097,0.83225,0.81825,0.83382,0.87172,0.7854,0.4927,0.38615,0.82065,0.00802,0.00802,0.00802
7,5874.69,0.56481,0.43964,0.82986,0.81943,0.83423,0.87259,0.7895,0.47886,0.38019,0.81746,0.007624,0.007624,0.007624
8,6700.97,0.55209,0.4317,0.82708,0.82167,0.83362,0.8728,0.79357,0.46307,0.37535,0.81416,0.007228,0.007228,0.007228
9,7528.45,0.53772,0.42256,0.82411,0.82231,0.8338,0.87333,0.79768,0.44762,0.36995,0.81119,0.006832,0.006832,0.006832
10,8358.02,0.52431,0.41698,0.82214,0.8222,0.83423,0.8736,0.80197,0.43223,0.36579,0.80827,0.006436,0.006436,0.006436
11,9189.85,0.51127,0.41068,0.81973,0.82255,0.83383,0.87353,0.80524,0.4182,0.36271,0.80562,0.00604,0.00604,0.00604
12,10022.4,0.49704,0.40528,0.81697,0.82268,0.83381,0.87377,0.80939,0.40408,0.35951,0.80299,0.005644,0.005644,0.005644
13,10860.1,0.48436,0.40091,0.81489,0.82248,0.83418,0.8739,0.81271,0.39236,0.35674,0.80072,0.005248,0.005248,0.005248
14,11696.3,0.4708,0.39526,0.81297,0.82284,0.83387,0.87388,0.8154,0.38228,0.35453,0.7988,0.004852,0.004852,0.004852
15,12528.9,0.45887,0.39291,0.81108,0.82284,0.83392,0.87389,0.81776,0.3739,0.3527,0.79725,0.004456,0.004456,0.004456
16,13305.4,0.42994,0.37945,0.81375,0.82293,0.83391,0.87384,0.81993,0.36593,0.35096,0.79574,0.00406,0.00406,0.00406
17,14077.9,0.41055,0.37243,0.80934,0.82301,0.83383,0.8738,0.82187,0.3586,0.34917,0.79427,0.003664,0.003664,0.003664
18,14846.5,0.39404,0.36693,0.80596,0.82308,0.83379,0.87384,0.8238,0.35173,0.34744,0.7929,0.003268,0.003268,0.003268
19,15618.5,0.38033,0.36248,0.80307,0.82305,0.8338,0.8738,0.82559,0.34528,0.3457,0.79158,0.002872,0.002872,0.002872
20,16389.7,0.36853,0.35851,0.80021,0.8231,0.83376,0.87386,0.82733,0.33905,0.34426,0.79032,0.002476,0.002476,0.002476
21,17160.4,0.35677,0.35474,0.79836,0.82319,0.83376,0.87389,0.829,0.333,0.34269,0.78909,0.00208,0.00208,0.00208
22,17932.2,0.34553,0.35076,0.79599,0.82319,0.83372,0.87387,0.83064,0.32702,0.34117,0.78785,0.001684,0.001684,0.001684
23,18703.7,0.33513,0.3472,0.794,0.82322,0.83374,0.87386,0.83231,0.32107,0.33973,0.78661,0.001288,0.001288,0.001288
24,19476.3,0.32542,0.34405,0.79234,0.82325,0.83375,0.87394,0.83407,0.31524,0.33836,0.78538,0.000892,0.000892,0.000892
25,20249.6,0.31692,0.34031,0.79074,0.82326,0.83372,0.87394,0.83567,0.3094,0.33708,0.78415,0.000496,0.000496,0.000496
